구분,서울
2020년06월17일,1240.32
2020년06월18일,1241.71
2020년06월19일,1243.35
2020년06월20일,1245.04
2020년06월21일,1245.99
2020년06월22일,1246.75
2020년06월23일,1249.10
2020년06월24일,1250.34
2020년06월25일,1252.62
2020년06월26일,1253.46
2020년06월27일,1254.54
2020년06월28일,1254.95
2020년06월29일,1256.17
2020년06월30일,1258.12
2020년07월01일,1258.08
2020년07월02일,1259.09
2020년07월03일,1259.65
2020년07월04일,1259.65
2020년07월05일,1260.17
2020년07월06일,1260.73
2020년07월07일,1261.33
2020년07월08일,1261.15
2020년07월09일,1261.11
2020년07월10일,1260.79
2020년07월11일,1260.78
2020년07월12일,1261.44
2020년07월13일,1261.36
2020년07월14일,1261.58
2020년07월15일,1262.10
2020년07월16일,1262.11
2020년07월17일,1262.38
2020년07월18일,1262.43
2020년07월19일,1262.88
2020년07월20일,1263.08
2020년07월21일,1263.16
2020년07월22일,1263.02
2020년07월23일,1263.46
2020년07월24일,1263.31
2020년07월25일,1263.30
2020년07월26일,1263.49
2020년07월27일,1263.13
2020년07월28일,1263.09
2020년07월29일,1263.24
2020년07월30일,1263.17
2020년07월31일,1262.69
2020년08월01일,1263.79
2020년08월02일,1264.96
2020년08월03일,1265.15
2020년08월04일,1265.04
2020년08월05일,1264.80
2020년08월06일,1265.51
2020년08월07일,1264.73
2020년08월08일,1264.15
2020년08월09일,1264.57
2020년08월10일,1264.53
2020년08월11일,1264.89
2020년08월12일,1263.90
2020년08월13일,1264.20
2020년08월14일,1264.34
2020년08월15일,1265.89
2020년08월16일,1266.04
2020년08월17일,1265.37
2020년08월18일,1266.60
2020년08월19일,1266.34
2020년08월20일,1266.73
2020년08월21일,1266.83
2020년08월22일,1266.64
2020년08월23일,1266.68
2020년08월24일,1266.45
2020년08월25일,1266.08
2020년08월26일,1265.62
2020년08월27일,1265.64
2020년08월28일,1265.64
2020년08월29일,1265.83
2020년08월30일,1265.74
2020년08월31일,1265.59
2020년09월01일,1263.90
2020년09월02일,1263.64
2020년09월03일,1263.82
2020년09월04일,1262.88
2020년09월05일,1262.48
2020년09월06일,1262.40
2020년09월07일,1262.26
2020년09월08일,1261.10
2020년09월09일,1260.42
2020년09월10일,1259.65
2020년09월11일,1258.05
2020년09월12일,1257.67
2020년09월13일,1257.09
2020년09월14일,1256.99
2020년09월15일,1255.65
2020년09월16일,1253.03
2020년09월17일,1251.52
2020년09월18일,1249.93
2020년09월19일,1249.08
2020년09월20일,1248.94
2020년09월21일,1247.98
2020년09월22일,1246.87
2020년09월23일,1245.83
2020년09월24일,1244.36
2020년09월25일,1243.64
2020년09월26일,1242.96
2020년09월27일,1242.82
2020년09월28일,1242.64
2020년09월29일,1242.16
2020년09월30일,1241.59
2020년10월01일,1241.87
2020년10월02일,1241.41
2020년10월03일,1240.20
2020년10월04일,1239.91
2020년10월05일,1240.41
